TIPO;ESTRATO ;CONSUMO JULIO 2020;CONSUMO AGOSTO 2020.;CONSUMO SEPTIEMBRE 2020.;CONSUMO OCTUBRE 2020.;CONSUMO NOVIEM 2020.;CONSUMO DICIEMBRE 2020.;PROMEDIO
RESIDENCIAL;ESTRATO 1;30;1;1;3;3;23;1.016.666.667
RESIDENCIAL;ESTRATO 2;0;0;1;0;2;0;0.5
RESIDENCIAL;ESTRATO 2;31;10;8;19;8;46;2.033.333.333
RESIDENCIAL;ESTRATO 2;14;9;8;26;5;19;13.5
RESIDENCIAL;ESTRATO 2;39;22;0;0;0;6;1.116.666.667
RESIDENCIAL;ESTRATO 2;3;2;3;3;2;3;2.666.666.667
RESIDENCIAL;ESTRATO 2;28;6;6;7;6;1;9
RESIDENCIAL;ESTRATO 2;11;7;11;15;7;13;1.066.666.667
RESIDENCIAL;ESTRATO 2;33;23;29;39;28;48;3.333.333.333
RESIDENCIAL;ESTRATO 2;5;2;2;6;2;8;4.166.666.667
RESIDENCIAL;ESTRATO 2;18;9;19;19;19;15;16.5
RESIDENCIAL;ESTRATO 2;36;2;1;21;2;18;1.333.333.333
RESIDENCIAL;ESTRATO 2;33;22;26;33;24;27;27.5
RESIDENCIAL;ESTRATO 2;13;7;12;13;11;4;10
RESIDENCIAL;ESTRATO 2;22;34;61;62;39;40;43
RESIDENCIAL;ESTRATO 2;23;16;23;26;22;29;2.316.666.667
RESIDENCIAL;ESTRATO 2;48;30;35;41;31;35;3.666.666.667
RESIDENCIAL;ESTRATO 2;1;4;9;16;14;15;9.833.333.333
RESIDENCIAL;ESTRATO 2;32;23;23;28;24;24;2.566.666.667
RESIDENCIAL;ESTRATO 2;26;17;31;29;21;19;2.383.333.333
RESIDENCIAL;ESTRATO 2;19;7;8;11;5;10;10
RESIDENCIAL;ESTRATO 1;40;27;40;41;30;30;3.466.666.667
RESIDENCIAL;ESTRATO 2;20;4;5;1;6;0;6
RESIDENCIAL;ESTRATO 3;9;16;20;30;18;53;2.433.333.333
RESIDENCIAL;ESTRATO 3;9;6;8;8;9;11;8.5
RESIDENCIAL;ESTRATO 3;34;25;43;52;49;77;4.666.666.667
RESIDENCIAL;ESTRATO 2;1;42;32;2;58;28;2.716.666.667
RESIDENCIAL;ESTRATO 2;22;14;15;45;29;39;2.733.333.333
RESIDENCIAL;ESTRATO 2;41;28;34;74;66;123;61
RESIDENCIAL;ESTRATO 2;31;22;27;47;59;59;4.083.333.333
RESIDENCIAL;ESTRATO 2;5;14;14;10;1;30;1.233.333.333
RESIDENCIAL;ESTRATO 2;5;3;2;2;4;0;2.666.666.667
RESIDENCIAL;ESTRATO 2;6;45;26;11;25;20;2.216.666.667
RESIDENCIAL;ESTRATO 1;1;124;37;48;28;22;4.333.333.333
RESIDENCIAL;ESTRATO 1;9;5;16;11;10;9;10
RESIDENCIAL;ESTRATO 2;31;1;55;47;1;103;3.966.666.667
RESIDENCIAL;ESTRATO 3;35;1;9;18;14;27;1.733.333.333
RESIDENCIAL;ESTRATO 3;33;24;30;37;25;33;3.033.333.333
RESIDENCIAL;ESTRATO 3;23;17;13;27;18;18;1.933.333.333
RESIDENCIAL;ESTRATO 3;41;29;33;35;31;43;3.533.333.333
RESIDENCIAL;ESTRATO 3;41;14;64;48;35;52;4.233.333.333
RESIDENCIAL;ESTRATO 3;12;9;12;13;9;13;1.133.333.333
RESIDENCIAL;ESTRATO 3;9;1;34;34;23;4;17.5
RESIDENCIAL;ESTRATO 3;24;27;25;28;27;32;2.716.666.667
RESIDENCIAL;ESTRATO 2;16;10;17;15;18;26;17
RESIDENCIAL;ESTRATO 2;14;10;10;12;6;11;10.5
RESIDENCIAL;ESTRATO 2;21;14;20;23;17;25;20
RESIDENCIAL;ESTRATO 2;11;24;19;21;12;24;18.5
RESIDENCIAL;ESTRATO 2;7;6;7;7;3;13;7.166.666.667
RESIDENCIAL;ESTRATO 2;12;8;10;14;10;11;1.083.333.333
RESIDENCIAL;ESTRATO 2;30;20;21;29;29;39;28
RESIDENCIAL;ESTRATO 1;77;44;99;118;67;122;8.783.333.333
RESIDENCIAL;ESTRATO 2;13;8;10;13;10;10;1.066.666.667
RESIDENCIAL;ESTRATO 2;13;9;1;23;9;0;9.166.666.667
RESIDENCIAL;ESTRATO 2;30;19;33;31;22;30;27.5
RESIDENCIAL;ESTRATO 2;20;14;17;21;17;31;20
RESIDENCIAL;ESTRATO 2;22;1;0;4;0;4;5.166.666.667
RESIDENCIAL;ESTRATO 2;27;14;15;15;16;19;1.766.666.667
RESIDENCIAL;ESTRATO 2;91;112;105;45;36;34;70.5
RESIDENCIAL;ESTRATO 2;4;1;10;2;2;14;5.5
RESIDENCIAL;ESTRATO 1;19;20;25;23;13;23;20.5
RESIDENCIAL;ESTRATO 2;36;20;35;33;24;32;30
RESIDENCIAL;ESTRATO 2;14;10;20;29;19;27;1.983.333.333
RESIDENCIAL;ESTRATO 3;35;19;40;65;52;61;4.533.333.333
RESIDENCIAL;ESTRATO 2;20;23;38;56;42;49;38
RESIDENCIAL;ESTRATO 2;12;10;14;18;12;17;1.383.333.333
RESIDENCIAL;ESTRATO 2;33;27;22;20;10;33;2.416.666.667
RESIDENCIAL;ESTRATO 2;32;19;27;30;27;33;28
RESIDENCIAL;ESTRATO 2;26;42;30;5;56;0;26.5
RESIDENCIAL;ESTRATO 2;6;3;4;5;3;5;4.333.333.333
RESIDENCIAL;ESTRATO 2;51;37;54;52;31;50;4.583.333.333
RESIDENCIAL;ESTRATO 2;9;5;8;10;6;9;7.833.333.333
RESIDENCIAL;ESTRATO 2;5;3;4;6;10;5;5.5
RESIDENCIAL;ESTRATO 2;11;8;12;15;11;15;12
RESIDENCIAL;ESTRATO 2;17;8;6;9;6;11;9.5
RESIDENCIAL;ESTRATO 2;12;11;16;20;9;22;15
RESIDENCIAL;ESTRATO 2;1;2;1;1;0;2;1.166.666.667
RESIDENCIAL;ESTRATO 2;11;8;7;10;12;8;9.333.333.333
RESIDENCIAL;ESTRATO 2;3;1;6;3;2;2;2.833.333.333
RESIDENCIAL;ESTRATO 2;1;5;9;16;19;28;13
RESIDENCIAL;ESTRATO 2;36;29;31;37;32;9;29
RESIDENCIAL;ESTRATO 2;21;18;20;17;12;21;1.816.666.667
RESIDENCIAL;ESTRATO 2;18;69;5;6;0;0;1.633.333.333
RESIDENCIAL;ESTRATO 2;41;18;40;31;48;52;3.833.333.333
RESIDENCIAL;ESTRATO 2;14;15;14;23;14;27;1.783.333.333
RESIDENCIAL;ESTRATO 2;16;9;12;12;5;3;9.5
RESIDENCIAL;ESTRATO 2;45;19;38;79;42;168;6.516.666.667
RESIDENCIAL;ESTRATO 2;34;28;63;68;53;58;5.066.666.667
